throttle,steering,rpm
0,0,0
0,0,0.00108982882119
0,0,0.00108982882119
0,0,0.00109399760443
0,0,0.00109793877458
0,0,0.00110205757638
0,0,0.00110595116145
0,0,0.00111001822147
0,0,0.00111405773855
0,0,0.00111787606739
0,0,0.00112176650913
0,0,0.00112553478899
0,0,0.00112937391772
0,0,0.00113318748605
0,0,0.0011369741541
0,0,0.00114073449637
0,0,0.0011444697802
0,0,0.00114845594996
0,0,0.0011520453728
0,0,0.00115551847607
0,0,0.00115915039718
0,0,0.00116275606345
0,0,0.00116642526747
0,0,0.00116989041633
0,0,0.00117341946336
0,0,0.00117692274915
0,0,0.00118040093049
0,0,0.00118394106541
1.0,0.0,53.77328785
1.0,0.0,107.91591398
1.0,0.0,161.819618304
0.899999976158,0.0,215.962247164
0.899999976158,0.0,270.34460699
0.899999976158,0.0,324.48738242
1.0,0.0,378.483738471
1.0,0.0,432.70534162
1.0,0.0,486.674939509
1.0,0.0,540.989535905
1.0,0.0,595.131394811
1.0,0.0,649.194625639
1.0,0.0,703.335726384
1.0,0.0,757.608243654
1.0,0.0,811.666007703
1.0,0.0,2869.77913856
1.0,0.0,3135.33915813
1.0,0.0,1236.47194992
0.10000000149,0.0,1023.32529268
1.38777878078e-16,0.0625,984.320414637
1.0,0.0,1030.43258982
1.0,0.0,1084.27444322
1.0,0.0,1136.88347219
1.0,0.0,1192.22058176
1.0,0.0,1251.39276172
1.0,0.0,1300.28757465
1.0,0.0,1359.3801177
1.0,0.0,3621.2180722
1.0,0.0,3407.85891209
1.0,0.0,1526.64661535
1.0,0.0,1590.55247229
1.0,0.0,1628.38007655
1.0,0.0,1684.18427805
1.0,0.0,1737.85432927
1.0,0.0,1791.53885594
1.0,0.0,421.338223729
1.0,0.0,-370.207444501
1.0,0.0,1974.6252745
1.0,0.0,2009.61945801
0.699999988079,0.0,2056.67284504
1.0,0.0,2118.53464793
1.0,0.0,2170.95960643
1.0,0.0,1041.53840089
1.0,0.0,2363.20392146
1.0,0.0,2340.38329807
1.0,0.0,2373.43761424
1.0,0.0,2442.69441337
1.0,0.0,2480.79460394
1.0,0.0,4653.71647174
1.0,0.0,2597.62354215
1.0,0.0,2661.98153285
1.0,0.0,2716.10592167
1.0,0.0,2763.03386153
1.0,0.0,3642.11533218
1.0,0.0,2861.45110031
0.10000000149,0.0,2826.70628977
1.0,0.0,2879.28239594
1.0,0.0,2907.39440362
1.0,0.0,2938.0055965
1.0,0.0,3037.51493409
1.0,0.0,3088.36797464
1.0,0.0,3150.34975371
1.0,0.0,5102.32877166
1.0,0.0,5160.07915091
1.0,0.125,3307.21315108
0.600000023842,0.1875,3372.11813854
1.0,0.25,2902.77079637
1.0,0.1875,3476.92371756
1.0,0.1875,3611.67786138
1.0,0.1875,3501.00726171
1.0,0.25,5691.01337502
1.0,0.1875,3721.78222407
1.38777878078e-16,0.375,3760.42553439
1.0,0.25,3585.84104022
1.0,0.0,5861.31251354
1.0,-0.0625,3784.25734798
1.0,0.0,3842.54120218
1.0,0.0,4497.41673774
1.0,0.0625,5400.26602294
