time,throttle_input,steering_angle_input,speed,yaw_rate,motor_rpm
1569754104.85,0,0,0,0,0
1569754104.89,0,0,0,0,0
1569754104.93,0,0,0,0,0
1569754104.97,0,0,0,0,0
1569754105.01,0,0,0,0,0
1569754105.05,0,0,0,0,0
1569754105.09,0,0,0,0,0
1569754105.13,0,0,0,0,0
1569754105.17,0,0,0,0,0
1569754105.21,0,0,0,0,0
1569754105.25,0,0,0,0,0
1569754105.29,0,0,0,0,0
1569754105.33,0,0,0,0,0
1569754105.37,0,0,0,0,0
1569754105.41,0,0,0,0,0
1569754105.45,0,0,0,0,0
1569754105.49,0,0,0,0,0
1569754105.53,0,0,0,0,0
1569754105.57,0,0,0,0,0
1569754105.61,0,0,0,0,0
1569754105.65,0,0,0,0,0
1569754105.69,0,0,0,0,0
1569754105.73,0,0,0,0,0
1569754105.77,0,0,0,0,0
1569754105.81,0,0,0,0,0
1569754105.85,0,0,0,0,0
1569754105.89,0,0,0,0,0
1569754105.93,0,0,0,0,0
1569754105.97,0,0,0,0,0
1569754106.01,0,0,0,0,0
1569754106.05,0,0,0,0,0
1569754106.09,0,0,0,0,0
1569754106.13,0,0,0,0,0
1569754106.17,0,0,0,0,0
1569754106.21,0,0,0,0,0
1569754106.25,0,0,0,0,0
1569754106.29,0,0,0,0,0
1569754106.33,0,0,0,0,0
1569754106.37,0,0,0,0,0
1569754106.41,0,0,0,0,0
1569754106.45,0,0,0,0,0
1569754106.49,0,0,0,0,0
1569754106.53,0,0,0,0,0
1569754106.57,0,0,0,0,0
1569754106.61,0,0,0,0,0
1569754106.65,0,0,0,0,0
1569754106.69,0,0,0,0,0
1569754106.73,0,0,0,0,0
1569754106.77,0,0,0,0,0
1569754106.81,0,0,0,0,0
1569754106.85,0,0,0,0,0
1569754106.89,0,0,0,0,0
1569754106.93,0,0,0,0,0
1569754106.97,0,0,0,0,0
1569754107.01,0,0,0,0,0
1569754107.05,0,0,0,0,0
1569754107.09,0,0,0,0,0
1569754107.13,0,0,0,0,0
1569754107.17,0,0,0,0,0
1569754107.21,0,0,0,0,0
1569754107.25,0,0,0,0,0
1569754107.29,0,0,0,0,0
1569754107.33,0,0,0,0,0
1569754107.37,0,0,0,0,0
