wheel,timestamp,error
left,1588319918.34,-0.769574181763
right,1588319918.34,-0.782287178294
left,1588319918.35,-0.757398954106
right,1588319918.35,-0.77046157712
left,1588319918.36,-0.74531720976
right,1588319918.36,-0.7587126525
left,1588319918.37,-0.733328536688
right,1588319918.37,-0.747038245862
left,1588319918.38,-0.72143295682
right,1588319918.38,-0.735436754667
left,1588319918.39,-0.709630885349
right,1588319918.39,-0.723907098802
right,1588319918.4,-0.7124487124
left,1588319918.4,-0.697923099296
right,1588319918.41,-0.701061486251
left,1588319918.41,-0.68631070049
right,1588319918.42,-0.689745749318
left,1588319918.42,-0.674795070577
right,1588319918.43,-0.678502216989
left,1588319918.43,-0.663377825529
right,1588319918.44,-0.667331941652
left,1588319918.44,-0.652060773428
right,1588319918.45,-0.656236266534
left,1588319918.45,-0.640845865371
left,1588319918.46,-0.629735146995
right,1588319918.46,-0.645216774558
right,1588319918.47,-0.634275235808
left,1588319918.47,-0.618730710271
right,1588319918.48,-0.623413550837
left,1588319918.48,-0.60783464088
right,1588319918.49,-0.612633688264
left,1588319918.49,-0.597048956165
right,1588319918.5,-0.601937604537
left,1588319918.5,-0.586375506778
right,1588319918.51,-0.591327093576
left,1588319918.51,-0.575815767257
right,1588319918.52,-0.580803338134
left,1588319918.52,-0.565370097229
right,1588319918.53,-0.570365494629
left,1588319918.53,-0.555034043358
right,1588319918.54,-0.560016453063
left,1588319918.54,-0.544812776131
right,1588319918.55,-0.549763302488
left,1588319918.55,-0.53471098677
left,1588319918.56,-0.524736221056
right,1588319918.56,-0.539609994677
left,1588319918.57,-0.514936837559
right,1588319918.57,-0.529607473784
left,1588319918.58,-0.505334680305
right,1588319918.58,-0.519785496798
left,1588319918.59,-0.495925938739
right,1588319918.59,-0.510141466734
right,1588319918.6,-0.500669995274
left,1588319918.6,-0.486703762513
left,1588319918.61,-0.477662996261
right,1588319918.61,-0.491364406029
right,1588319918.62,-0.482226841978
left,1588319918.62,-0.468799954117
left,1588319918.63,-0.460108168103
right,1588319918.63,-0.473245444014
left,1588319918.64,-0.451584734251
right,1588319918.64,-0.464420651841
left,1588319918.65,-0.443227754159
right,1588319918.65,-0.455755947207
left,1588319918.66,-0.435030034778
right,1588319918.66,-0.447241284939
left,1588319918.67,-0.426988901726
right,1588319918.67,-0.438872526094
right,1588319918.68,-0.430654665643
left,1588319918.68,-0.419105312537
right,1588319918.69,-0.42258589416
left,1588319918.69,-0.411373868593
right,1588319918.7,-0.414659748699
left,1588319918.7,-0.403792792878
left,1588319918.71,-0.396358660203
right,1588319918.71,-0.406878081506
left,1588319918.72,-0.389069298508
right,1588319918.72,-0.399234028718
left,1588319918.73,-0.381924000654
right,1588319918.73,-0.391734743465
left,1588319918.74,-0.37491770415
right,1588319918.74,-0.384371890991
left,1588319918.75,-0.368047345872
right,1588319918.75,-0.377137891744
right,1588319918.76,-0.370041890905
left,1588319918.76,-0.361313634286
right,1588319918.77,-0.363080923748
left,1588319918.77,-0.354713535214
right,1588319918.78,-0.356252099651
left,1588319918.78,-0.348245310566
left,1588319918.79,-0.341901540985
right,1588319918.79,-0.349546060595
left,1588319918.8,-0.335681969354
right,1588319918.8,-0.342959068433
right,1588319918.81,-0.336499706799
left,1588319918.81,-0.329587130576
right,1588319918.82,-0.330166486739
left,1588319918.82,-0.32361450719
right,1588319918.83,-0.323956540881
left,1588319918.83,-0.317761574052
right,1588319918.84,-0.317866901519
left,1588319918.84,-0.312025862959
right,1588319918.85,-0.311895517459
left,1588319918.85,-0.306405179774
right,1588319918.86,-0.306040511764
left,1588319918.86,-0.300897384432
right,1588319918.87,-0.300300069771
left,1588319918.87,-0.295500374842
