wheel,timestamp,state
right,1588322248.01,-0.553481675308
left,1588322248.01,-0.590026348996
right,1588322248.02,-0.558329981791
left,1588322248.02,-0.594142584008
right,1588322248.03,-0.563131154292
left,1588322248.03,-0.598202592899
right,1588322248.04,-0.567876791592
left,1588322248.04,-0.602202373499
right,1588322248.05,-0.57255966488
left,1588322248.05,-0.606138579602
right,1588322248.06,-0.577173682924
left,1588322248.06,-0.610008495601
right,1588322248.07,-0.581713839401
left,1588322248.07,-0.613810001963
right,1588322248.08,-0.586176146086
left,1588322248.08,-0.617541533038
right,1588322248.09,-0.590557558055
left,1588322248.09,-0.621202024716
right,1588322248.1,-0.594855870493
left,1588322248.1,-0.624790870645
right,1588322248.11,-0.599069627645
left,1588322248.11,-0.628307863454
right,1588322248.12,-0.603198035551
 left,1588322248.12,-0.631753144653
right,1588322248.13,-0.607240871781
left,1588322248.13,-0.635127150818
right,1588322248.14,-0.611198389537
left,1588322248.14,-0.638430563272
left,1588322248.15,-0.641664262106
right,1588322248.15,-0.61507123428
left,1588322248.16,-0.644829284653
right,1588322248.16,-0.618860367422
left,1588322248.17,-0.647926787225
right,1588322248.17,-0.622566995983
left,1588322248.18,-0.650958015713
right,1588322248.18,-0.626192510599
left,1588322248.19,-0.653924279083
right,1588322248.19,-0.629738449047
left,1588322248.2,-0.656826925109
right,1588322248.2,-0.633206443498
right,1588322248.21,-0.636598185305
 left,1588322248.21,-0.659667321771
left,1588322248.22,-0.662446842562
right,1588322248.22,-0.639915396927
right,1588322248.24,-0.643159809802
left,1588322248.24,-0.66516685502
right,1588322248.24,-0.646333147111
left,1588322248.24,-0.667828712666
right,1588322248.25,-0.649437117799
 left,1588322248.25,-0.670433744684
right,1588322248.26,-0.652473398302
left,1588322248.26,-0.672983253585
left,1588322248.27,-0.675478513841
 right,1588322248.27,-0.655443614204
right,1588322248.28,-0.65834935916
left,1588322248.28,-0.677920772521
right,1588322248.29,-0.661192187824
left,1588322248.29,-0.680311245455
right,1588322248.3,-0.663973610599
left,1588322248.3,-0.682651116587
right,1588322248.31,-0.66669509381
left,1588322248.31,-0.684941538085
right,1588322248.32,-0.669358060334
left,1588322248.32,-0.687183630886
right,1588322248.33,-0.671963890666
left,1588322248.33,-0.689378485292
left,1588322248.34,-0.691527160502
right,1588322248.34,-0.674513919573
left,1588322248.35,-0.693630689535
 right,1588322248.35,-0.677009443248
left,1588322248.36,-0.695690078419
right,1588322248.36,-0.679451726858
right,1588322248.37,-0.681841997735
left,1588322248.37,-0.697706306275
left,1588322248.38,-0.699680326323
right,1588322248.38,-0.684181447484
right,1588322248.39,-0.686471233748
left,1588322248.39,-0.701613066935
left,1588322248.4,-0.703505432629
right,1588322248.4,-0.688712481789
right,1588322248.41,-0.690906282554
left,1588322248.41,-0.705358303193
right,1588322248.42,-0.693053696051
left,1588322248.42,-0.707172539505
right,1588322248.43,-0.695155768138
left,1588322248.43,-0.70894897881
left,1588322248.44,-0.710688437229
right,1588322248.44,-0.697213512337
left,1588322248.45,-0.712391711737
right,1588322248.45,-0.699227908928
left,1588322248.46,-0.7140595805
right,1588322248.46,-0.701199914108
left,1588322248.47,-0.715692802712
right,1588322248.47,-0.703130459893
left,1588322248.48,-0.717292119645
right,1588322248.48,-0.705020449503
left,1588322248.49,-0.718858257466
right,1588322248.49,-0.706870771505
left,1588322248.51,-0.720391925313
right,1588322248.51,-0.708682294263
right,1588322248.51,-0.710455863954
left,1588322248.51,-0.721893815565
left,1588322248.52,-0.723364604423
right,1588322248.52,-0.712192305733
right,1588322248.53,-0.713892424296
left,1588322248.53,-0.724804951945
left,1588322248.54,-0.726215502621
 right,1588322248.54,-0.715556999743
right,1588322248.55,-0.717186799287
left,1588322248.55,-0.727596889067
right,1588322248.56,-0.71878257981
left,1588322248.56,-0.728949726996
right,1588322248.57,-0.720345076455
 left,1588322248.57,-0.730274617579
left,1588322248.58,-0.73157214886
 right,1588322248.58,-0.721875000465
right,1588322248.59,-0.723373046788
left,1588322248.59,-0.732842895374
right,1588322248.6,-0.724839890908
left,1588322248.6,-0.734087420012
right,1588322248.61,-0.726276200655
 left,1588322248.61,-0.735306274734
right,1588322248.62,-0.727682629056
left,1588322248.62,-0.736499999247
right,1588322248.63,-0.729059813439
 left,1588322248.63,-0.737669121062
right,1588322248.64,-0.730408376117
left,1588322248.64,-0.738814155566
right,1588322248.65,-0.731728921482
left,1588322248.66,-0.739935606502
right,1588322248.66,-0.733022042451
left,1588322248.66,-0.741033967823
right,1588322248.67,-0.734288322804
left,1588322248.67,-0.742109723688
right,1588322248.68,-0.735528335991
left,1588322248.68,-0.743163345267
right,1588322248.69,-0.736742640917
left,1588322248.69,-0.744195292611
right,1588322248.7,-0.737931774831
left,1588322248.7,-0.745206015772
left,1588322248.72,-0.746195956436
 right,1588322248.72,-0.739096264156
left,1588322248.73,-0.747165548026
 right,1588322248.73,-0.74023662996
right,1588322248.74,-0.741353381404
left,1588322248.74,-0.748115214487
right,1588322248.75,-0.742447015926
 left,1588322248.75,-0.749045370197
right,1588322248.76,-0.743518017529
left,1588322248.76,-0.749956420561
right,1588322248.77,-0.744566859262
left,1588322248.77,-0.750848762662
left,1588322248.78,-0.751722785969
right,1588322248.78,-0.745594008632
left,1588322248.79,-0.752578871746
right,1588322248.79,-0.746599922146
left,1588322248.8,-0.753417389899
right,1588322248.8,-0.747585049384
left,1588322248.81,-0.754238703555
 right,1588322248.81,-0.748549824896
left,1588322248.81,-0.755043168099
right,1588322248.82,-0.749494670181
left,1588322248.82,-0.755831132729
right,1588322248.83,-0.750420002767
left,1588322248.83,-0.75660293921
right,1588322248.84,-0.75132623103
left,1588322248.84,-0.757358921603
right,1588322248.85,-0.752213753668
left,1588322248.85,-0.758099407479
right,1588322248.86,-0.753082958799
left,1588322248.86,-0.758824717861
right,1588322248.87,-0.753934228942
right,1588322248.88,-0.754767939945
left,1588322248.88,-0.759535167069
right,1588322248.89,-0.755584458464
left,1588322248.89,-0.760231062441
right,1588322248.9,-0.756384143892
left,1588322248.9,-0.760912704171
right,1588322248.91,-0.757167347987
 left,1588322248.91,-0.761580384845
left,1588322248.92,-0.762234392306
 right,1588322248.92,-0.75793441282
left,1588322248.93,-0.762875008239
right,1588322248.93,-0.758685673557
right,1588322248.94,-0.759421457824
 left,1588322248.94,-0.763502508939
left,1588322248.95,-0.764117164958
right,1588322248.95,-0.760142085911
left,1588322248.96,-0.764719241463
right,1588322248.96,-0.760847872751
left,1588322248.97,-0.765308998143
 right,1588322248.97,-0.761539127841
left,1588322248.98,-0.765886688812
right,1588322248.98,-0.762216152943
right,1588322248.99,-0.762879243292
left,1588322248.99,-0.766452563551
